Player Name,Team Name,role,Season 4,Season 5,Season 6,Season 7,Season 8,Season 9,Season 10,Season 11,Season 12,Season 13,Season 14,Season 15
 Ewin lewis,MI,Batsman,,,,,,,,,382,48,151,73
 Wriddiman Saha,SRH,Batsman,68,6,70,362,249,270,234,122,86,214,131,317
AB De Villiers,RCB,Batsman,312,319,360,395,513,687,216,480,442,454,313,0
Ajinkya Rahane,CSK,Batsman,120,560,488,339,540,480,382,370,393,113,8,44
Ambati Raydu,CSK,Batsman,395,333,265,361,281,334,91,602,292,359,257,274
Andre Rusell,KKR,All rounder,47,11,2,326,188,316,510,117,183,335,265,310
axer patel,DC,All rounder,,,,62,206,111,227,80,110,117,40,182
Ben Cutting,MI,All rounder,,,,,,,,8,65,51,96,18
ben stokes,CSK,All rounder,,,,,,,316,196,123,285,0,0
Brendon McCullum,CSK,Batsman,357,289,6,405,436,354,319,127,,,,
Chris Gayle,RCB,Batsman,608,773,708,196,491,227,200,368,490,288,193,0
Daniel Sams,LSG,All rounder,,,,,,146,17,99,211,352,89,156
David Miller,GT,Batsman,105,98,418,446,357,161,83,74,213,0,124,481
David Warnar,DC,Batsman,163,324,256,410,528,562,848,641,692,548,195,432
Deepak Hooda,LSG,All rounder,,,,,151,144,78,87,64,101,160,451
Devdatt padikal,RR,Batsman,,,,,,,,,,473,411,376
Devon conway,CSK,Batsman,,,,,,,,,,,,252
Dinesh Kartik,RCB,Batsman,282,238,510,325,141,335,361,498,253,169,149,254
Dwaine peterious,CSK,All rounder,,,,,,,,,,,,44
Dwayne Bravo,CSK,All rounder,11,371,121,8,195,99,141,80,7,78,47,23
Dwayne Smith,CSK,Batsman,22,157,418,566,399,324,239,,,,,
Gautam Gambhir,KKR,Batsman,378,590,406,335,327,501,498,85,,,,
Gleen phillips,SRH,Batsman,,,,,,,,,,,26,
Glen Maxwell,RCB,All rounder,,36,552,145,179,310,169,108,170,179,513,301
hardik pandya,GT,All rounder,,,,,112,44,250,260,402,281,127,487
Ishan Kishan,MI,Batsman,,,,,,42,277,275,101,516,241,418
Jason holder,LSG,All rounder,,,,,0,,,16,22,66,85,58
Jason Roy,SRH,Batsman,,,,,,,,,59,120,150,
Jos Buttler,RR,Batsman,204,146,270,140,260,255,272,548,311,328,254,863
Karun nair,KXIP,All rounder,,,9,330,181,357,281,301,5,16,,16
Kieron Pollard,MI,All rounder,146,220,420,273,419,207,385,133,279,268,245,144
KL Rahul,LSG,Batsman,,,,20,166,142,397,659,593,670,626,616
krunal pandya,LSG,All rounder,,,,,,237,244,228,183,109,143,183
Lim Livingstone,KXIP,All rounder,,,,,,,,,,70,42,437
M.S.Dhoni,CSK,Batsman,392,358,461,371,372,284,290,455,416,200,114,232
Mahipal lomror,RCB,Batsman,,,,,,,,20,8,59,94,86
